Bewertung_ID,Klinik_ID,Name_Klinik,Bewertung_Datum,Sternebewertung,Textuelle_Bewertung,Likes
1,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 5 Tagen,5,Wirklich tolle Menschen in der Notaufnahme. Jeder hatte trotz Stress ein Lächeln übrig und der behandelnde Arzt hat sich wirklich Zeit genommen um mir alles genau zu erklären. Super Team. Vielen Dank!,0
2,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 7 Monaten,5,"Neues, modernes Klinikum mit guter Ausstattung und sehr motiviertem und qualifiziertem Personal.
Das Klinikum Schaumburg liegt ruhig und freistehend im Grünen.
Von der (Not-) Aufnahme, über die OP bis zur Nachsorge kann ich nur sehr Gutes berichten.
Vielen Dank an das Ärzteteam um Herrn Professor Dr. Bürk, Frau Dr. Kaiser für die reibungslose OP und Frau Dr. Fütterer für die Nachsorge. Danke auch an das gesamte Narkoseteam um Herrn Dr. Finsterwalde, besonders an Narkose Schwester Alexandra für das besonders leichte Einschlafen und Pfleger Stefan für das ""betreute Wieder - Aufwachen"". :-) Auf Station waren alle hochmotiviert und aufmerksam, Besonderer Dank auch hier an Tatjana, Schwester Annette, Schwester Frauke, Schwester Annedorle, Schwester Gunda, FSJ´ler Torben und all die anderen fleißigen und aufmerksamen Menschen. Nochmals Danke und .... bleibt gesund! :-)",1
3,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Monat,5,"Ich habe im Krankenhaus entbunden. Super nettes Personal über Hebammen, Schwester/Pfleger/ Ärzte. Man konnte immer fragen und es wurde einem auch zugehört.
Als es zu Komplikationen kam bei der Geburt wurde superschnell gehandelt so das wir alle gesund das Krankenhaus verlassen konnten.",2
4,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 2 Monaten,5,"Mir hat man hier auf Grund mittelschwerer Co19 - Erkrankung Okt/Nov. 2020 sicherlich das Leben gerettet!! Ein großes Dankeschön an die Ärzte, Schwestern, Pfleger und an alle, die man nicht gleich wahrnimmt, die aber das ""Räderwerk"" am Laufen halten!!! Die schwere Arbeit auf den Intensiv- und Isolierstationen verdient höchsten Respekt und Anerkennung!!
Vielen Dank - mir geht es wieder gut!!!",0
5,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 2 Jahren,5,"Sollte ich mal ins Krankenhaus müssen,
dann möchte ich hier in das
nigelnagelneue Agaplesion Krankenhaus in Obernkirchen.

All das was ich bei einem Besuch gesehen habe, hat mir sehr gut gefallen. Helle freundliche 2 Bett-Zimmer und überall eine ansprechende Ambiente.

Ein Krankenhaus mit modernster Technik, um bestimmt schnell wieder gesund zu werden.",3
6,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 2 Monaten,3,"Ich habe wirklich gute Erfahrungen in der Notaufnahme gemacht. Leider 2 x auch sehr schlechte Erfahrungen. Ein Arzt bat mich mit einer Notfalleinweisung nicht am Freitag Mittag zu erscheinen, sondern Mittwochs oder Donnerstags. Das war die absolute Krönung. Mit Notfalleinweisung, das muss man sich echt mal überlegen. Gott sei Dank habe ich einen anderen Arzt gefunden, sonst hätte ich jetzt eine Gliedmaße weniger",0
7,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einer Woche,5,"Meine Mutter hat bis heute Morgen auf der W12 gelegen.dadurch das sie so schnell verlegt wurde konnte ich mich nicht bedanken.,, lieben Dank an alle die meine kleine Mama so liebevoll versorgt haben.bleibt gesund",1
8,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 2 Wochen,4,"Ich war Anfang des Jahres zum geplanten Kaiserschnitt in der Klinik. Von Patientenanmeldung über OP und Geburtsstation war wirklich alles super und Schwestern, Hebammen und Ärzte freundlich und hilfsbereit.
Ein Stern ziehe ich für den externen Kinderarzt aus Bückeburg ab. Ihm fehlte es am Tag unserer U2 Untersuchung sehr an Empathie, eine vollständige Untersuchung wurde ebenfalls nicht durchgeführt, da wir weiter überwiesen worden sind. Und zu guter letzt stellte er dafür eine Privatrechnung aus, obwohl es eine Kassenleistung ist. Da empfiehlt sich, sich direkt nach Geburt an einen anderen Kinderarzt zu wenden.",0
9,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 3 Wochen,1,"Unglaublich lange Wartezeiten trotz eines Termins
& Parkplätze gibt es da auch so gut wie garkeine, im hinteren des Klinikums befindet sich über 5000.QDM Grundstück welches man als Parkplatz Möglichkeit umbauen könnte... aber bloß kein Geld in etwas Sinvolles investieren...",1
10,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Monat,1,"toll, wenn sich erst die im Büro ungefährdete Geschäftsleitung impfen lässt, aber das aktive Pflegepersonal  nun länger warten muss?!
Fristlos kündigen!
Strafrechtlich verfolgen!",0
